School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Principia,35.67,23.36,59.03,1,7,1
Rockhurst,20.5,30.36,50.85,25,1,2
Logan-Rogersville,21.75,28.32,50.07,19,2,3
De Smet Jesuit,27.21,21.79,49.0,5,9,4
Chaminade College Prep,31.97,15.69,47.65,2,31,5
Kickapoo,22.05,25.1,47.15,18,4,6
Lee's Summit,25.66,18.99,44.65,8,19,7
Staley,21.27,23.26,44.53,22,8,8
Oak Park,25.69,18.53,44.22,7,22,9
Benton,19.45,24.49,43.94,29,5,10
North Kansas City,19.18,24.18,43.35,31,6,11
Vianney,25.93,16.69,42.62,6,28,12
MICDS,16.47,25.15,41.62,40,3,13
St. Dominic,18.06,20.61,38.67,35,12,14
Cardinal Ritter,22.64,15.96,38.6,14,30,15
Blue Springs South,23.52,14.81,38.33,12,36,16
Lee's Summit North,20.91,17.37,38.28,24,25,17
Westminster Christian Academy,15.57,21.63,37.2,49,10,18
Sikeston,24.66,11.28,35.94,9,72,19
Nixa,22.66,12.11,34.77,13,63,20
Webster Groves,27.28,7.17,34.45,4,124,21
Christian Brothers College,22.33,12.02,34.34,16,65,22
Rock Bridge,15.01,18.85,33.87,54,20,23
Rolla,21.42,11.99,33.41,21,67,24
Battle,22.34,10.91,33.25,15,78,25
Francis Howell Central,23.82,9.34,33.17,11,87,26
Pattonville,17.88,14.56,32.44,36,39,27
Eureka,10.93,21.23,32.16,91,11,28
Park Hill South,14.67,17.04,31.71,57,26,29
Clayton,27.38,4.18,31.56,3,169,30
Marquette,22.07,9.27,31.35,17,89,31
Park Hill,17.02,14.14,31.16,39,41,32
Jackson,11.57,19.18,30.75,82,17,33
Helias Catholic,18.82,11.9,30.72,33,70,34
Liberty,12.38,18.3,30.68,75,23,35
McCluer North,9.76,20.18,29.94,106,13,36
Grain Valley,9.95,19.79,29.75,102,14,37
Blair Oaks,15.64,14.04,29.67,47,43,38
Lafayette (Wildwood),16.18,13.49,29.66,42,48,39
Orchard Farm,19.2,10.32,29.52,30,84,40
Kearney,11.24,18.06,29.3,87,24,41
Liberty North,15.62,13.36,28.98,48,52,42
Blue Springs,21.67,7.05,28.71,20,128,43
Raymore-Peculiar,13.09,15.33,28.42,67,34,44
Lindbergh,11.24,16.75,27.99,88,27,45
Lift for Life Academy Charter,19.64,7.33,26.96,28,121,46
St. Michael the Archangel,15.64,11.0,26.64,45,77,47
Glendale,21.05,5.3,26.35,23,155,48
