School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Vianney,28.44,18.73,47.18,2,6,1
MICDS,18.78,27.32,46.1,8,1,2
Webster Groves,29.4,13.99,43.38,1,13,3
Sikeston,28.19,13.96,42.15,3,14,4
Westminster Christian Academy,17.65,23.55,41.2,12,2,5
McCluer North,12.58,23.38,35.96,26,3,6
Helias Catholic,21.33,14.34,35.67,5,11,7
Kearney,12.35,19.05,31.4,27,5,8
Hillcrest,18.96,12.16,31.12,7,20,9
Raytown South,15.5,14.44,29.94,17,9,10
Ft. Zumwalt South,8.16,20.66,28.82,39,4,11
Holt,16.08,12.36,28.44,13,18,12
Van Horn,13.98,13.69,27.68,22,15,13
Raytown,13.17,14.43,27.61,24,10,14
Lincoln College Prep,12.84,14.56,27.4,25,8,15
Willard,15.69,11.29,26.99,16,23,16
Winnetonka,15.06,11.86,26.92,19,21,17
Pembroke Hill,19.7,6.98,26.68,6,38,18
Grandview,12.26,13.44,25.7,28,16,19
Farmington,18.13,6.97,25.1,10,39,20
Belton,18.47,6.43,24.9,9,41,21
Carl Junction,15.33,8.95,24.27,18,31,22
Parkway Central,11.29,12.93,24.22,30,17,23
Webb City,8.26,15.93,24.19,38,7,24
Capital City,17.66,5.73,23.39,11,43,25
Hazelwood East,11.9,10.97,22.87,29,25,26
West Plains,14.35,7.53,21.88,21,37,27
Parkway North,7.5,14.08,21.58,41,12,28
University City,15.01,6.57,21.58,20,40,29
Ladue Horton Watkins,13.19,8.37,21.56,23,34,30
Festus,11.14,10.03,21.17,31,28,31
Rockwood Summit,9.93,10.22,20.15,34,27,32
Ruskin,8.6,11.33,19.93,36,22,33
Parkview,6.57,11.1,17.67,43,24,34
Jefferson City,7.31,9.67,16.97,42,30,35
John Burroughs,6.55,10.23,16.77,44,26,36
Lutheran South,10.26,5.82,16.07,33,42,37
Central (Springfield),15.71,0.35,16.06,15,54,38
Washington,6.02,9.71,15.73,45,29,39
Father Tolton,4.47,8.39,12.86,50,33,40
Central (Cape Girardeau),0.08,12.26,12.34,57,19,41
Lebanon,3.15,8.66,11.81,52,32,42
Windsor (Imperial),7.96,3.41,11.38,40,48,43
Marshfield,23.76,-12.63,11.12,4,62,44
St. Pius X (Kansas City),10.98,-0.17,10.81,32,55,45
Mehlville,15.84,-5.22,10.62,14,61,46
Poplar Bluff,8.5,1.63,10.13,37,51,47
Camdenton,4.54,5.09,9.62,49,45,48
Union,1.27,8.26,9.53,54,35,49
Hillsboro,9.87,-1.12,8.75,35,57,50
Warrensburg,5.74,2.59,8.33,46,50,51
Warrenton,2.09,4.95,7.04,53,46,52
Platte County,1.12,5.69,6.81,55,44,53
William Chrisman,5.27,1.16,6.43,47,52,54
Pacific,-0.49,4.16,3.67,58,47,55
Hannibal,-0.51,3.2,2.7,59,49,56
Ft. Zumwalt East,-5.98,7.79,1.82,63,36,57
McDonald County,5.22,-3.6,1.62,48,58,58
McCluer,-0.65,0.84,0.19,60,53,59
KIPP KC Legacy,-2.88,-5.11,-7.99,61,60,60
North Point,-5.11,-4.22,-9.34,62,59,61
Northeast (Kansas City),3.32,-14.88,-11.55,51,63,62
DeSoto,-11.76,-0.58,-12.34,64,56,63
Riverview Gardens,0.3,-15.13,-14.83,56,64,64
