Date,Home Team,Home Score,Away Team,Away Score
2025-11-20,Galena,80,Exeter,33
2025-11-20,North Point,32,Francis Howell,67
2025-11-20,Ladue Horton Watkins,57,John Burroughs,51
2025-11-20,Higbee,53,La Plata,43
2025-11-20,Kingsville,70,Otterville,53
2025-11-20,Believe Acad Charter,25,Riverview Gardens,77
2025-11-20,Harrisonville,50,Savannah,64
2025-11-20,Leopold,83,Zalma,30
2025-11-21,Hermitage,77,Ballard,54
2025-11-21,Kirkwood,43,Battle,75
2025-11-21,Bourbon,36,Bismarck,61
2025-11-21,Greenville,45,Bloomfield,48
2025-11-21,Christian Fellowship Sr.,61,Bunceton,18
2025-11-21,University City,51,Cardinal Ritter,74
2025-11-21,KIPP KC Legacy,38,Center,75
2025-11-21,Puxico,86,Clearwater,32
2025-11-21,Palmyra,50,Clopton,28
2025-11-21,Green Ridge,45,Crest Ridge,50
2025-11-21,DeLaSalle Charter (KC),28,Crossroads Prep Charter,54
2025-11-21,Zalma,36,Delta,115
2025-11-21,Northwest (Cedar Hill),64,DeSoto,61
2025-11-21,Holt,65,Ft. Zumwalt East,30
2025-11-21,Lathrop,28,Gallatin,70
2025-11-21,Marquand-Zion,59,Gideon,65
2025-11-21,Meadville,50,Glasgow,68
2025-11-21,Northeast Vernon County,67,Golden City,87
2025-11-21,Sarcoxie,72,Greenfield,46
2025-11-21,Niangua,26,Halfway,68
2025-11-21,Polo,62,Hardin-Central,33
2025-11-21,Windsor (Imperial),75,Herculaneum,33
2025-11-21,Chamois,35,Hermann,51
2025-11-21,Miller,67,Hollister,31
2025-11-21,School of the Ozarks,42,Humansville,32
2025-11-21,Wheatland,80,Hume,20
2025-11-21,Chilhowee,67,La Monte,58
2025-11-21,Raytown South,40,Lincoln College Prep,47
2025-11-21,Van-Far,49,Linn,29
2025-11-21,Sherwood,44,Midway,34
2025-11-21,Lakeland,57,Montrose,27
2025-11-21,Gloria Deo Academy,74,New Covenant Academy,67
2025-11-21,Guadalupe Centers Charter,18,Northland Christian,66
2025-11-21,Orrick,66,Northwestern (Mendon),50
2025-11-21,Dora,22,Norwood,82
2025-11-21,Salem,45,Prairie Home,44
2025-11-21,Pacific,33,Rolla,63
2025-11-21,Leeton,51,Sacred Heart,50
2025-11-21,Northwest (Hughesville),54,Scott County Central,67
2025-11-21,Dadeville,55,South Callaway,50
2025-11-21,Missouri Military Academy,58,South Pemiscot,91
2025-11-21,Gateway Science Charter,44,Soldan International Studies,54
2025-11-21,Exeter,46,Tuscumbia,59
2025-11-21,Harrisburg,56,Worth County,38
2025-11-21,Bakersfield,62,Wright City,22
2025-11-21,Marshall,73,Sweet Springs,35
2025-11-21,Climax Springs,74,Tuscumbia,56
2025-11-21,Northeast (Kansas City),39,University Academy Charter,57
2025-11-21,St. Pius X (Kansas City),60,Versailles,72
2025-11-21,Fatima,68,Versailles,64
2025-11-21,Richland,39,Vienna,55
2025-11-21,Brookfield,54,Westran,81
2025-11-22,Hurley,21,Blue Eye,83
2025-11-22,Christian Fellowship Sr.,57,Community,21
2025-11-22,Verona,35,Fordland,76
2025-11-22,Van-Far,68,Higbee,45
2025-11-22,New Bloomfield,77,Highland,22
2025-11-22,North Pemiscot,42,Marquand-Zion,75
2025-11-22,Savannah,59,Mexico,58
2025-11-22,Wright City,38,Neelyville,75
2025-11-22,Columbia Independent,40,New Franklin,70
2025-11-22,Missouri Military Academy,27,North Callaway,80
2025-11-22,Wheaton,36,Pleasant Hope,68
2025-11-22,Jasper,61,Purdy,52
2025-11-22,Bunker,59,St. James,47
2025-11-24,Clearwater,39,Arcadia Valley,65
2025-11-24,Monett,51,Billings,69
2025-11-24,Jasper,34,Blue Eye,62
2025-11-24,Glasgow,53,Brunswick,60
2025-11-24,La Monte,81,Bunceton,24
2025-11-24,New Bloomfield,44,Calvary Lutheran,58
2025-11-24,Lift for Life Academy Charter,64,Chaminade College Prep,74
2025-11-24,Wheatland,48,Climax Springs,59
2025-11-24,Plato,60,Couch,81
2025-11-24,Spokane,63,Exeter,31
2025-11-24,Vienna,32,Fatima,53
2025-11-24,Pleasant Hope,64,Fordland,79
2025-11-24,Golden City,51,Greenfield,59
2025-11-24,Linn County,46,Grundy County with Newtown-Harris,42
2025-11-24,Troy Buchanan,54,Holt,72
